order_id,customer_id,order_date,payment_method,order_status,sales_channel
O000001,C0104,2025-09-15,Credit Card,Delivered,Online
O000002,C0469,2026-04-17,PayPal,Returned,Online
O000003,C0207,2026-02-01,Shop Pay,Cancelled,Online
O000004,C0317,2025-11-02,Gift Card,Processing,Store
O000005,C0358,2025-12-15,Shop Pay,Shipped,Online
O000006,C0327,2026-05-29,Debit Card,Returned,Store
O000007,C0168,2026-06-22,Shop Pay,Shipped,Online
O000008,C0482,2025-12-10,Shop Pay,Processing,Store
O000009,C0053,2025-09-02,Shop Pay,Processing,Store
O000010,C0489,2026-01-05,Credit Card,Processing,Store
O000011,C0128,2026-06-13,Debit Card,Processing,Online
O000012,C0115,2025-08-12,Shop Pay,Processing,Online
O000013,C0332,2025-11-16,Debit Card,Delivered,Online
O000014,C0006,2026-04-05,Credit Card,Shipped,Online
O000015,C0401,2025-10-13,Shop Pay,Cancelled,Store
O000016,C0341,2026-04-24,Shop Pay,Returned,Store
O000017,C0271,2025-11-29,Gift Card,Delivered,Online
O000018,C0081,2025-08-10,Credit Card,Shipped,Online
O000019,C0411,2026-03-21,PayPal,Delivered,Store
O000020,C0388,2025-12-09,Debit Card,Shipped,Online
O000021,C0394,2026-07-08,Shop Pay,Shipped,Online
O000022,C0309,2026-06-22,PayPal,Delivered,Online
O000023,C0420,2026-01-13,PayPal,Delivered,Online
O000024,C0319,2025-08-17,Shop Pay,Returned,Online
O000025,C0376,2026-06-19,Shop Pay,Shipped,Store
O000026,C0198,2025-12-25,PayPal,Shipped,Store
O000027,C0395,2025-11-25,Credit Card,Returned,Store
O000028,C0276,2026-03-07,PayPal,Shipped,Online
O000029,C0392,2026-03-15,PayPal,Shipped,Online
O000030,C0395,2026-01-10,Debit Card,Returned,Store
O000031,C0209,2026-06-30,Shop Pay,Returned,Store
O000032,C0388,2026-01-12,Gift Card,Processing,Store
O000033,C0178,2025-07-17,Debit Card,Cancelled,Online
O000034,C0454,2026-05-02,Credit Card,Shipped,Online
O000035,C0444,2026-04-02,Shop Pay,Shipped,Store
O000036,C0487,2026-02-16,Shop Pay,Returned,Store
O000037,C0449,2025-09-17,Credit Card,Shipped,Store
O000038,C0493,2026-01-24,Shop Pay,Shipped,Store
O000039,C0364,2026-03-06,Shop Pay,Delivered,Online
O000040,C0170,2026-03-16,Credit Card,Cancelled,Online
O000041,C0295,2026-01-07,Shop Pay,Processing,Store
O000042,C0011,2026-05-10,PayPal,Returned,Store
O000043,C0279,2026-06-26,Gift Card,Cancelled,Store
O000044,C0260,2025-11-28,Debit Card,Processing,Online
O000045,C0007,2025-08-31,PayPal,Shipped,Online
O000046,C0392,2026-02-05,Credit Card,Delivered,Online
O000047,C0193,2026-02-23,PayPal,Shipped,Store
O000048,C0275,2026-03-28,Debit Card,Processing,Store
O000049,C0494,2025-10-28,Shop Pay,Cancelled,Store
O000050,C0053,2026-03-11,Shop Pay,Returned,Store
