order_item_id,order_id,product_id,quantity,unit_price,total_price
OI000001,O000392,P0009,5,220.03,1100.15
OI000002,O000072,P0163,1,124.01,124.01
OI000003,O000715,P0006,4,64.76,259.04
OI000004,O000428,P0043,5,62.64,313.2
OI000005,O000453,P0033,2,69.13,138.26
OI000006,O000423,P0042,3,84.32,252.96
OI000007,O000785,P0156,3,33.32,99.96
OI000008,O000287,P0129,3,43.04,129.12
OI000009,O000802,P0126,3,57.21,171.63
OI000010,O000415,P0027,3,38.79,116.37
OI000011,O000498,P0073,3,112.77,338.31
OI000012,O000165,P0047,2,308.95,617.9
OI000013,O000344,P0101,2,29.46,58.92
OI000014,O000677,P0199,4,341.73,1366.92
OI000015,O000237,P0176,4,215.29,861.16
OI000016,O000097,P0104,5,53.78,268.9
OI000017,O000399,P0122,2,112.3,224.6
OI000018,O000937,P0118,3,118.57,355.71
OI000019,O000874,P0001,5,205.63,1028.15
OI000020,O000852,P0019,5,67.31,336.55
OI000021,O000957,P0186,2,59.97,119.94
OI000022,O000266,P0096,3,65.44,196.32
OI000023,O000078,P0020,2,244.35,488.7
OI000024,O000645,P0139,1,175.56,175.56
OI000025,O000449,P0062,4,71.74,286.96
OI000026,O000519,P0002,4,91.67,366.68
OI000027,O000057,P0017,4,48.14,192.56
OI000028,O000180,P0062,3,71.74,215.22
OI000029,O000317,P0020,2,244.35,488.7
OI000030,O000442,P0157,5,329.97,1649.85
OI000031,O000825,P0047,3,308.95,926.85
OI000032,O000403,P0165,4,133.56,534.24
OI000033,O000799,P0190,2,109.52,219.04
OI000034,O000240,P0053,3,89.14,267.42
OI000035,O000460,P0096,5,65.44,327.2
OI000036,O000132,P0153,1,83.43,83.43
OI000037,O000887,P0199,2,341.73,683.46
OI000038,O000409,P0015,2,75.36,150.72
OI000039,O000380,P0176,1,215.29,215.29
OI000040,O000407,P0089,1,137.76,137.76
OI000041,O000035,P0189,4,131.12,524.48
OI000042,O000310,P0043,5,62.64,313.2
OI000043,O000459,P0059,4,193.41,773.64
OI000044,O000469,P0102,4,112.47,449.88
OI000045,O000980,P0079,1,116.9,116.9
OI000046,O000638,P0038,2,68.52,137.04
OI000047,O000788,P0162,3,274.18,822.54
OI000048,O000106,P0005,2,283.06,566.12
OI000049,O000936,P0188,3,252.61,757.83
OI000050,O000993,P0120,2,55.36,110.72
OI000051,O000338,P0074,3,68.57,205.71
OI000052,O000300,P0075,5,101.68,508.4
OI000053,O000898,P0054,5,31.28,156.4
OI000054,O000748,P0102,3,112.47,337.41
OI000055,O000139,P0062,5,71.74,358.7
OI000056,O000024,P0173,2,93.0,186.0
OI000057,O000832,P0087,5,76.86,384.3
OI000058,O000576,P0008,1,76.87,76.87
OI000059,O000276,P0094,4,76.44,305.76
OI000060,O000680,P0130,2,113.44,226.88
OI000061,O000112,P0068,1,67.6,67.6
OI000062,O000200,P0022,1,111.65,111.65
OI000063,O000491,P0059,1,193.41,193.41
OI000064,O000058,P0085,4,82.19,328.76
OI000065,O000687,P0036,5,117.88,589.4
OI000066,O000494,P0085,3,82.19,246.57
OI000067,O000573,P0045,3,55.08,165.24
OI000068,O000189,P0199,4,341.73,1366.92
OI000069,O000399,P0142,1,59.27,59.27
OI000070,O000307,P0089,3,137.76,413.28
OI000071,O000339,P0008,5,76.87,384.35
OI000072,O000394,P0072,4,138.56,554.24
OI000073,O000008,P0046,3,93.66,280.98
OI000074,O000119,P0107,1,246.04,246.04
OI000075,O000294,P0153,4,83.43,333.72
OI000076,O000142,P0049,1,210.17,210.17
OI000077,O000945,P0072,4,138.56,554.24
OI000078,O000614,P0123,1,81.92,81.92
OI000079,O000849,P0112,2,101.84,203.68
OI000080,O000505,P0075,2,101.68,203.36
OI000081,O000158,P0080,5,282.38,1411.9
OI000082,O000552,P0106,4,121.07,484.28
OI000083,O000357,P0067,1,337.1,337.1
OI000084,O000054,P0054,5,31.28,156.4
OI000085,O000212,P0153,3,83.43,250.29
OI000086,O000104,P0149,3,60.85,182.55
OI000087,O000840,P0181,4,59.13,236.52
OI000088,O000964,P0019,2,67.31,134.62
OI000089,O000575,P0002,4,91.67,366.68
OI000090,O000903,P0132,3,67.76,203.28
OI000091,O000227,P0063,3,104.03,312.09
OI000092,O000973,P0081,4,78.99,315.96
OI000093,O000091,P0087,4,76.86,307.44
OI000094,O000280,P0106,3,121.07,363.21
OI000095,O000125,P0094,2,76.44,152.88
OI000096,O000562,P0051,3,136.99,410.97
OI000097,O000279,P0074,2,68.57,137.14
OI000098,O000251,P0039,1,281.89,281.89
OI000099,O000024,P0088,2,107.19,214.38
OI000100,O000390,P0197,3,188.73,566.19
OI000101,O000648,P0172,1,71.84,71.84
OI000102,O000673,P0171,2,98.58,197.16
OI000103,O000469,P0168,3,72.78,218.34
OI000104,O000142,P0147,4,323.57,1294.28
OI000105,O000939,P0143,4,31.09,124.36
OI000106,O000668,P0083,5,97.42,487.1
OI000107,O000934,P0174,4,347.83,1391.32
OI000108,O000828,P0162,5,274.18,1370.9
OI000109,O000453,P0118,4,118.57,474.28
OI000110,O000323,P0039,4,281.89,1127.56
OI000111,O000147,P0118,1,118.57,118.57
OI000112,O000030,P0170,2,97.07,194.14
OI000113,O000586,P0102,3,112.47,337.41
OI000114,O000788,P0116,1,345.28,345.28
OI000115,O000683,P0085,2,82.19,164.38
OI000116,O000541,P0028,3,46.28,138.84
OI000117,O000211,P0197,5,188.73,943.65
OI000118,O000875,P0023,2,260.5,521.0
OI000119,O000996,P0034,4,118.3,473.2
OI000120,O000171,P0008,1,76.87,76.87
OI000121,O000986,P0119,1,37.99,37.99
OI000122,O000211,P0176,3,215.29,645.87
OI000123,O000661,P0187,1,36.09,36.09
OI000124,O000436,P0057,2,429.62,859.24
OI000125,O000310,P0034,2,118.3,236.6
OI000126,O000616,P0109,3,269.31,807.93
OI000127,O000416,P0148,4,300.56,1202.24
OI000128,O000857,P0010,4,48.48,193.92
OI000129,O000423,P0046,2,93.66,187.32
OI000130,O000754,P0106,3,121.07,363.21
OI000131,O000892,P0149,1,60.85,60.85
OI000132,O000375,P0196,4,97.68,390.72
OI000133,O000205,P0018,2,368.51,737.02
OI000134,O000625,P0043,2,62.64,125.28
OI000135,O000195,P0083,1,97.42,97.42
OI000136,O000151,P0121,3,79.61,238.83
OI000137,O000430,P0173,4,93.0,372.0
OI000138,O000751,P0116,5,345.28,1726.4
OI000139,O000262,P0141,1,247.81,247.81
OI000140,O000281,P0091,2,53.61,107.22
OI000141,O000599,P0155,2,81.82,163.64
OI000142,O000254,P0055,3,99.52,298.56
OI000143,O000269,P0194,3,284.46,853.38
OI000144,O000804,P0133,4,447.5,1790.0
OI000145,O000157,P0006,4,64.76,259.04
OI000146,O000838,P0122,5,112.3,561.5
OI000147,O000795,P0006,5,64.76,323.8
OI000148,O000182,P0189,4,131.12,524.48
OI000149,O000720,P0007,1,360.51,360.51
OI000150,O000437,P0123,1,81.92,81.92
OI000151,O000807,P0181,5,59.13,295.65
OI000152,O000977,P0128,3,81.48,244.44
OI000153,O000740,P0083,2,97.42,194.84
OI000154,O000502,P0095,1,300.44,300.44
OI000155,O000225,P0034,1,118.3,118.3
OI000156,O000112,P0062,2,71.74,143.48
OI000157,O000526,P0125,4,339.63,1358.52
OI000158,O000905,P0185,4,333.87,1335.48
OI000159,O000419,P0141,5,247.81,1239.05
OI000160,O000166,P0078,5,78.12,390.6
OI000161,O000510,P0081,2,78.99,157.98
OI000162,O000123,P0134,1,39.68,39.68
OI000163,O000930,P0092,1,251.54,251.54
OI000164,O000724,P0119,4,37.99,151.96
OI000165,O000489,P0120,5,55.36,276.8
OI000166,O000665,P0068,2,67.6,135.2
OI000167,O000569,P0093,2,133.0,266.0
OI000168,O000266,P0145,5,45.17,225.85
OI000169,O000113,P0026,1,120.5,120.5
OI000170,O000816,P0176,5,215.29,1076.45
OI000171,O000222,P0183,3,79.24,237.72
OI000172,O000041,P0159,5,86.03,430.15
OI000173,O000469,P0133,3,447.5,1342.5
OI000174,O000422,P0047,3,308.95,926.85
OI000175,O000456,P0073,4,112.77,451.08
OI000176,O000125,P0034,4,118.3,473.2
OI000177,O000719,P0185,5,333.87,1669.35
OI000178,O000505,P0052,2,81.47,162.94
OI000179,O000862,P0022,5,111.65,558.25
OI000180,O000002,P0074,1,68.57,68.57
OI000181,O000361,P0131,5,93.84,469.2
OI000182,O000169,P0058,4,390.27,1561.08
OI000183,O000103,P0150,3,172.48,517.44
OI000184,O000092,P0140,1,420.42,420.42
OI000185,O000607,P0159,2,86.03,172.06
OI000186,O000086,P0113,5,20.11,100.55
OI000187,O000497,P0094,3,76.44,229.32
OI000188,O000046,P0127,5,56.63,283.15
OI000189,O000140,P0091,4,53.61,214.44
OI000190,O000221,P0184,2,93.76,187.52
OI000191,O000544,P0005,4,283.06,1132.24
OI000192,O000577,P0037,2,163.56,327.12
OI000193,O000694,P0167,1,107.33,107.33
OI000194,O000221,P0157,1,329.97,329.97
OI000195,O000131,P0071,2,108.8,217.6
OI000196,O000798,P0187,1,36.09,36.09
OI000197,O000825,P0030,1,45.34,45.34
OI000198,O000575,P0169,1,260.33,260.33
OI000199,O000862,P0035,4,46.2,184.8
OI000200,O000645,P0153,3,83.43,250.29
OI000201,O000427,P0058,3,390.27,1170.81
OI000202,O000392,P0116,5,345.28,1726.4
OI000203,O000520,P0101,1,29.46,29.46
OI000204,O000594,P0086,4,69.43,277.72
OI000205,O000945,P0175,1,226.29,226.29
OI000206,O000469,P0187,5,36.09,180.45
OI000207,O000791,P0172,2,71.84,143.68
OI000208,O000918,P0127,2,56.63,113.26
OI000209,O000781,P0046,2,93.66,187.32
OI000210,O000229,P0062,1,71.74,71.74
OI000211,O000913,P0148,2,300.56,601.12
OI000212,O000965,P0064,3,105.72,317.16
OI000213,O000440,P0056,1,175.19,175.19
OI000214,O000619,P0175,4,226.29,905.16
OI000215,O000291,P0029,1,137.48,137.48
OI000216,O000734,P0159,2,86.03,172.06
OI000217,O000657,P0051,3,136.99,410.97
OI000218,O000032,P0152,3,124.65,373.95
OI000219,O000531,P0165,1,133.56,133.56
OI000220,O000505,P0197,5,188.73,943.65
OI000221,O000890,P0102,2,112.47,224.94
OI000222,O000157,P0177,2,271.9,543.8
OI000223,O000231,P0043,3,62.64,187.92
OI000224,O000631,P0121,3,79.61,238.83
OI000225,O000466,P0135,4,118.42,473.68
OI000226,O000484,P0125,1,339.63,339.63
OI000227,O000687,P0154,4,418.25,1673.0
OI000228,O000318,P0142,5,59.27,296.35
OI000229,O000058,P0073,2,112.77,225.54
OI000230,O000153,P0163,5,124.01,620.05
OI000231,O000399,P0075,3,101.68,305.04
OI000232,O000911,P0141,1,247.81,247.81
OI000233,O000225,P0074,1,68.57,68.57
OI000234,O000661,P0063,5,104.03,520.15
OI000235,O000249,P0105,2,184.9,369.8
OI000236,O000579,P0030,2,45.34,90.68
OI000237,O000826,P0186,4,59.97,239.88
OI000238,O000908,P0054,2,31.28,62.56
OI000239,O000286,P0057,4,429.62,1718.48
OI000240,O000137,P0152,3,124.65,373.95
OI000241,O000323,P0065,4,107.74,430.96
OI000242,O000224,P0147,4,323.57,1294.28
OI000243,O000471,P0009,4,220.03,880.12
OI000244,O000650,P0088,4,107.19,428.76
OI000245,O000479,P0140,3,420.42,1261.26
OI000246,O000485,P0098,3,87.52,262.56
OI000247,O000510,P0086,1,69.43,69.43
OI000248,O000971,P0155,3,81.82,245.46
OI000249,O000337,P0148,1,300.56,300.56
OI000250,O000317,P0049,2,210.17,420.34
OI000251,O000601,P0046,2,93.66,187.32
OI000252,O000273,P0107,1,246.04,246.04
OI000253,O000595,P0129,2,43.04,86.08
